``A`` format	``G`` format	``c0`` format	minimal call	output type
:math:`n-r\times n` Numpy array	length :math:`n` Numpy array	Numpy array	``eqtk.solve(c0, A=A, G=G)``	Numpy array (Series or DataFrame if ``names`` specified)
DataFrame	Series or dict	Series, DataFrame, or dict	``eqtk.solve(c0, A=A, G=G)``	Series or DataFrame
